Company name,Owner,Source,Priority,Stage,Country,City,Employee Size,Linkedin URL
CloudSphere AI,Ritik Rathod,Linkedin,P0,Assigned,India,Mumbai,01-Oct,https://www.linkedin.com/company/cloudsphere?originalSubdomain=in
FinEdge Technologies,Ankit Sharma,Reference,P1,Reached Out,Pakistan,Lahore,Nov-50,https://www.linkedin.com/company/finedge-official?originalSubdomain=in
MarketFlow Labs,Riya Mehta,Custom,P2,Engaged,China,Beijing,51-200,https://www.linkedin.com/company/marketflow?originalSubdomain=uk
HealthSync Systems,Arjun Patel,Linkedin,P0,Nurture,Nepal,Kathmandu,201-500,https://www.linkedin.com/company/healthsynclive
EduSphere Technologies,Sneha Kapoor,Reference,P1,Demo Done,USA,New York,"501-1,000",https://www.linkedin.com/company/eduspheretechnologies?originalSubdomain=in
RetailCore Inc,Rahul Verma,Custom,P2,Dropped,UAE ,Abu Dhabi,"1,001-5,000",https://www.linkedin.com/company/retailcore?originalSubdomain=in
DataWave Analytics,Priya Nair,Linkedin,P0,Not Interested,Indonesia,Jakarta,"5,001-10,000",https://www.linkedin.com/company/dataweave?originalSubdomain=in
NextGen Commerce,Karan Malhotra,Linkedin,P1,Demo Done,Thailand,Bangkok,"10,001+",https://www.linkedin.com/newsletters/next-gen-commerce-7474712470301970433
Visionary AI Labs,Neha Joshi,Reference,P2,Dropped,Singapore,Singapore,01-Oct,https://www.linkedin.com/company/visionariesai?originalSubdomain=in
Coefficient ,Vikram Singh,Custom,P0,Not Interested,Malaysia,Kuala Lumpu,Nov-50,https://www.linkedin.com/company/coefficient-live-data-in-google-sheets-excel
